Job title,Job company,job salary,posted,Job_location,Job link,Job requirements,job description
HSE Specialist,Egypt Gold  ,Not preview,25 days ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/IRAM-JEWELRY-Egypt-39723,Experienced,Not provided
wiring harness Production Manager,Confidential ,Not preview,26 days ago,"10th of Ramadan City, Cairo, Egypt",,Manufacturing/Production,Not preview
Senior Civil Engineer,Confidential ,Not preview,27 days ago,"Nasr City, Cairo, Egypt",,Quality,Not preview
Junior Game QA Intern,Confidential ,Not preview,28 days ago,"Sheraton, Cairo, Egypt",,Quality Control,Not preview
Warehouse Keeper,Alunaut ,Not preview,29 days ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Alunaut-Egypt-111424,Quality Management,Not provided
Spare Parts & Inventory Control Engineer,Masria Group ,Not preview,16 days ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Masria-Group-Egypt-40509,Quality analysis,Not provided
MEP Site Engineer,Alunaut ,Not preview,29 days ago,"North Coast, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Alunaut-Egypt-111424,Quality control,Not provided
HSE Specialist,Confidential ,Not preview,29 days ago,"6th of October, Giza, Egypt",,Quality management,Not preview
Senior Site Engineer,PRE Group ,Not preview,25 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Mashareq-Egypt-101933,Manufacturing processes,Not provided
IPM & Housekeeping Engineer,Beyti  an Almarai Subsidiary  ,Not preview,30 days ago,"Noubaria, Beheira, Egypt",https://wuzzuf.net/jobs/careers/Beyti---A-Joint-Venture-of-Almarai---Pepsico-Egypt-28089,Statistical process control (spc),Not provided
Site Electrical Engineer,DME Holding ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/HR-Section-Head-Egypt-37520,Root cause analysis,Not provided
Production Engineer,AlShrouk Paper ,Not preview,1 month ago,"Alsadat City, Monufya, Egypt",https://wuzzuf.net/jobs/careers/El-Sherouk-Egypt-85699,Full Time,Not provided
Site Engineer,Arabtec ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Arabtec-Egypt-127305,On-site,Not provided
Senior Arch\Civil QC,Jidaar Construction ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Jidaar-Construction-Egypt-19687,Entry Level,Not provided
HSE Engineer,EUREKA Solar Energy ,Not preview,1 month ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/-124018,Quality,Not provided
Erection Engineer,CPC ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Roots-Steel-International---Egypt-Egypt-10775,Engineering - Mechanical/Electrical,Not provided
HSE Specialist,Zeina Group ,Not preview,1 month ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/Zeina-Group-Egypt-11128,Engineering,Not provided
Store Controller/ Store Keeper,Power Solutions ,Not preview,24 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/PS-Egypt-9190,Mechanical,Not provided
Customer Service Coordinator,Foreway Cotture Cairo ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Foreway-Couture-Egypt-144574,Quality Control,Not provided
Pizza Chef,Maritim Jolie Ville Resort & Casino Sharm El Sheikh ,Not preview,1 month ago,"Sharm Alsheikh, South Sinai, Egypt",https://wuzzuf.net/jobs/careers/maritim-jolie-ville-resort-casino-sharm-el-sheikh-egypt-142463,Mechanical Engineering,Not provided
Production Manager,Shendy furniture   ,Not preview,1 month ago,"Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Shendy furniture-Egypt-87944,Project Management,Not provided
Quality Manager,3Brothers ,Not preview,2 months ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/3Brothers-Egypt-14192,CAD,Not provided
"Software Test Engineer (Manual & Automation) (Full-Time, Remote)",iBrokerage Ltd. ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/iBrokerage Ltd.-Canada-117060,SolidWorks,Not provided
Civil Site Engineer,Hayah Developments ,Not preview,1 month ago,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/careers/-112001,Fusion 360,Not provided
Warehouse Section Head,Confidential ,Not preview,1 month ago,"Abu Qurqas, Minya, Egypt",,Full Time,Not preview
Cost Control Accountant,Blue Nile ,Not preview,29 days ago,"Zamalek, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Blue-Nile-Egypt-17532,On-site,Not provided
Quality Assurance Engineer (IT / Software),Confidential ,Not preview,15 days ago,"New Cairo, Cairo, Egypt",,Experienced,Not preview
Site Technical Office Engineer,ADCONS ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/adcons-egypt-135645,Hospitality/Hotels/Food Services,Not provided
Document Control Specialist,Hyundai Rotem ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Hyundai-Rotem-Egypt-28521,Quality,Not provided
Welding Engineer,Doosan Enerbility co .LTD ,Not preview,1 month ago,"Dabaa, Matruh, Egypt",https://wuzzuf.net/jobs/careers/Doosan-enerbility-co--LTD-Egypt-126176,Sales/Retail,Not provided
Quality Assurance,Ibn Sina Pharma ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Ibn-Sina-Pharma-Egypt-7249,Quality Assurance,Not provided
Auditor (QA Specialist),B.TECH ,Not preview,1 month ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/B-Tech-Egypt-403,Quality Control,Not provided
Auditor Supervisor (QA),B.TECH ,Not preview,1 month ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/B-Tech-Egypt-403,Food & Beverage,Not provided
head of technical office,ESC ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/ESG-Egypt-56821,Food Hygiene,Not provided
Senior Production & Quality Engineer,Masry for Engineering & trading ,Not preview,2 months ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Masry-for-Engineering---trading-Egypt-5487,Food Safety Management,Not provided
Quality Engineer.,سرايو للصناعة والتجارة ,Not preview,2 months ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/sarayo-egypt-egypt-143265,Food quality,Not provided
Senior Website Delivery Specialist,Road9 Media ,Not preview,1 month ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Road9-Media-Egypt-9798,Retail,Not provided
Electrical Testing Engineer,Elsewedy Electric ,Not preview,1 month ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/El-Sewedy-Egypt-19852,Full Time,Not provided
Electrical Site Engineer,green river for urban development ,Not preview,1 month ago,"New Capital, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-126059,On-site,Not provided
Quality Assurance Engineer,El Abd Group ,Not preview,23 days ago,"Alsadat City, Monufya, Egypt",https://wuzzuf.net/jobs/careers/El-Abd-Group-Egypt-14655,Experienced,Not provided
Designer (Construction & Facade & Aluminum Window Design),CSCEC International Facade Egypt Co Ltd ,Not preview,1 month ago,"Ain Sokhna, Suez, Egypt",https://wuzzuf.net/jobs/careers/-100397,Quality,Not provided
SQC Interpreter Specialist (Chinese Speaker),etisal for advanced industries  ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/etisal-for-advanced-industries-Egypt-83648,Quality Control,Not provided
Senior QC Automation Engineer,BITechnologies ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526,Printing,Not provided
Senior Project Control Engineer,Concrete Plus ,Not preview,1 month ago,"North Coast, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Concrete-Plus-Egypt-17929,Offset Printing,Not provided
Office Furniture Operation Supervisor.,Unifit ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/unifit-egypt-144665,Full Time,Not provided
Warehouse Manager,Confidential ,Not preview,1 month ago,"Abu Qurqas, Minya, Egypt",,On-site,Not preview
Website & Application Tester (Manual QA) — Remote,Master Global  ,Not preview,1 month ago,"Dubai, United Arab Emirates",https://wuzzuf.net/jobs/careers/360-Digital-Intelligence-Saudi-Arabia-60119,Manager,Not provided
Microbiology Lab Engineer,Beyti  an Almarai Subsidiary  ,Not preview,1 month ago,"Noubaria, Beheira, Egypt",https://wuzzuf.net/jobs/careers/Beyti---A-Joint-Venture-of-Almarai---Pepsico-Egypt-28089,Manufacturing/Production,Not provided
Food Safety Engineer,Beyti  an Almarai Subsidiary  ,Not preview,1 month ago,"Noubaria, Beheira, Egypt",https://wuzzuf.net/jobs/careers/Beyti---A-Joint-Venture-of-Almarai---Pepsico-Egypt-28089,Medical/Healthcare,Not provided
cost controller F&B Sector,Smileys Trading  ,Not preview,1 month ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/smileys-trading-egypt-142121,Quality,Not provided
Packaging Engineer,Dabur ,Not preview,1 month ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Dabur-Egypt-34410,Operations/Management,Not provided
Production Supervisor(Chemical Industry),Shoura Chemicals  ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Shoura-Chemicals-Egypt-49703,Quality Control (QC) Quality Management Quality Assurance (QA) ISO 13485 GMP (Good Manufacturing Practices) CAPA (Corrective and Preventive Actions) Root Cause Analysis Internal Auditing Risk Management Statistical Process Control (SPC) Documentation & Re,Not provided
Q.C Professional Finished Product Analyst,APEX Pharma ,Not preview,1 month ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,Quality Management,Not provided
F&B Manager,NTS Group ,Not preview,1 month ago,"Downtown, Cairo, Egypt",https://wuzzuf.net/jobs/careers/NTS-Egypt-41234,ISO 13485,Not provided
Arabic Teacher,GPS ,Not preview,1 month ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/elmoasserbooks-Egypt-37460,GMP (Good Manufacturing Practices),Not provided
Documentation Officer,APEX Pharma ,Not preview,1 month ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,CAPA (Corrective and Preventive Actions),Not provided
R&D Formulation Specialist,APEX Pharma ,Not preview,1 month ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,Root Cause Analysis,Not provided
Electrical Maintenance Engineer - Electrical Power (Outsource),Prometeon tyres group – Egypt ,Not preview,2 months ago,"Ameria, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Pirelli-Egypt-4786,Full Time,Not provided
Finished Product Analyst,Rameda ,Not preview,2 months ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Rameda-Egypt-23014,On-site,Not provided
Medical Warehouse Manager,Ibn Sina Pharma ,Not preview,1 month ago,"Aswan, Aswan, Egypt",https://wuzzuf.net/jobs/careers/Ibn-Sina-Pharma-Egypt-7249,Experienced,Not provided
Senior Stock Controller.,La Poire ,Not preview,1 month ago,"Basatin, Cairo, Egypt",https://wuzzuf.net/jobs/careers/La-Poire-Egypt-13221,Quality,Not provided
Production Engineer,Perfecto Polymers ,Not preview,2 months ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/perfecto-polymers-egypt-144241,Quality Assurance,Not provided
QC Manager,FlexFilms Egypt ,Not preview,2 months ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/FlexFilms-Egypt-Egypt-29559,Quality Control,Not provided
Energy Engineer,Optima Solutions Group ,Not preview,2 months ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/optima-solutions-group-egypt-143573,Full Time,Not provided
Quality Assurance Manager,Global Napi Pharmaceuticals ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/GLOBAL-NAPI-PHARMACEUTICALS-Egypt-31913,On-site,Not provided
Agri-Manager (Blueberry-Grapes),El Banna Group Company ,Not preview,2 months ago,"Wadi Alnatrun, Beheira, Egypt",https://wuzzuf.net/jobs/careers/Zeta-Pharma-Egypt-14317,Manager,Not provided
Automation Tester- Mid Level,GET Group Egypt ,Not preview,2 months ago,"Sheraton, Cairo, Egypt",https://wuzzuf.net/jobs/careers/GET-Group--Egypt-Egypt-3132,Manufacturing/Production,Not provided
Senior QA Engineer – Frontend & Backend Testing Automation,Electro Pi ,Not preview,2 months ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/electro-pi-egypt-138164,Quality,Not provided
Document Controller,Energya power and telecom solutions Elsewedy Helal ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Energya-Industries-Group-Egypt-130515,Engineering - Other,Not provided
Project Engineer,"TMPA Apparel Manufacturing Co.,Ltd ",Not preview,2 months ago,"Shubra, Cairo, Egypt",https://wuzzuf.net/jobs/careers/tmpa-egypt-egypt-140695,Quality,Not provided
Senior QC Engineer – Software Testing,TECHNOSAT ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/TECHNOSAT-Egypt-129010,Quality Control,Not provided
Senior Site Engineer,DME Holding ,Not preview,2 months ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/HR-Section-Head-Egypt-37520,Quality Assurance,Not provided
Document Controller,Dr.Greiche  ,Not preview,2 months ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/Dr-Greiche-Egypt-41590,Engineering,Not provided
Internal Audit Officer,Tawfeer ,Not preview,9 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-84172,Production,Not provided
Restaurant/Hospitality Manager,Confidential ,Not preview,8 days ago,"Zanzibar, Tanzania",,English,Not preview
Outpatient Clinics Nursing Head Nurse,Mersal  ,Not preview,2 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Mersal-Egypt-45113,ISO,Not provided
Fleet Supervisor,Confidential ,Not preview,2 days ago,"New Cairo, Cairo, Egypt",,Full Time,Not preview
Assistant Restaurant Manager,Confidential ,Not preview,4 days ago,"Cairo, Egypt",,On-site,Not preview
Internal Audit Assistant Manager,SAVOLA ,Not preview,4 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/-2383,Manager,Not provided
Cost Controller,Intertrade Co.  ,Not preview,2 months ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/Intertrade Co.-United States-89695,Quality,Not provided
Document Controller Specialist,New Plan  ,Not preview,2 months ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501,Quality Assurance,Not provided
Front End Developer,Reservya ,Not preview,1 day ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/reservya-egypt-145889,Quality Control,Not provided
Backend Developer,Reservya ,Not preview,1 day ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/reservya-egypt-145889,Process Improvement,Not provided
Purchasing / Procurement Specialist (IT),eService  ,Not preview,8 days ago,"Glim, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/eService-Egypt-43541,Root Cause Analysis,Not provided
Store Keeper,GROOVY Medical Spa ,Not preview,8 days ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/GROOVY-Medical-Spa-Egypt-17863,Lean Manufacturing,Not provided
Internal Audit Supervisor,Talaat Moustafa Group ,Not preview,11 days ago,"Dokki, Giza, Egypt",https://wuzzuf.net/jobs/careers/Talaat-Moustafa-Group-Egypt-3106,Six Sigma,Not provided
Senior Procurement Engineer,Confidential ,Not preview,10 days ago,"Sheikh Zayed, Giza, Egypt",,Team Leadership,Not preview
Warehouse Manager Assistant,Farm Fresh ,Not preview,12 days ago,"Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Farm-Fresh-Egypt-38563,Data Analysis,Not provided
External Auditor Manager,Confidential ,Not preview,11 days ago,"Nasr City, Cairo, Egypt",,Inspection Procedures,Not preview
Housekeeping Supervisor,Saudi German Hospital  ,Not preview,15 days ago,"New Nozha, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Saudi-German-Hospital-Egypt-31807,Full Time,Not provided
Cost Control Engineer,Pricon ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Pricon-Egypt-70846,Hybrid,Not provided
Head Chef | Fine Dining | Libya,Alrafahiya ,Not preview,18 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Alrafahiya-Libya-138963,Experienced,Not provided
Finance Manager,Semak ,Not preview,18 days ago,"Dokki, Giza, Egypt",https://wuzzuf.net/jobs/careers/brandcare-Egypt-31006,IT/Software Development,Not provided
Procurement Section Head,Concrete Plus ,Not preview,21 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Concrete-Plus-Egypt-17929,Quality,Not provided
Experienced Tenter Frame Operator,Saudiaccounttest2 ,Not preview,7 days ago,"Jeddah, Saudi Arabia",https://wuzzuf.net/jobs/careers/saudi-account-test2-saudi-arabia-131259,Engineering - Telecom/Technology,Not provided
Electrical Engineering Manager,AL SALMANYA ,Not preview,21 hours ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/-115373,Computer Science,Not provided
Site Supervisor,Dubai Misr ,Not preview,10 days ago,"New Capital, Cairo, Egypt",https://wuzzuf.net/jobs/careers/dubai-misr-egypt-129911,Software Quality,Not provided
Procurement Manager,Concrete Plus ,Not preview,21 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Concrete-Plus-Egypt-17929,Software Testing,Not provided
Pharmacy Manager,El sheefa pharmacy ,Not preview,24 days ago,"Helmeyat Alzaytoun, Cairo, Egypt",https://wuzzuf.net/jobs/careers/el-sheefa-pharmacy-egypt-145311,Information Technology (IT),Not provided
QA Professional Compliance Officer,APEX Pharma ,Not preview,7 days ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,Quality Assurance (QA),Not provided
Production Engineer (Blown Film),Aldawlia For Plastic Materials ,Not preview,4 days ago,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/careers/-104266,Test Automation,Not provided
Concrete Plant Manager,ORGANI GROUP ,Not preview,2 days ago,"New Capital, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Sinai-Sons-Company-Egypt-64842,Agile Methodologies,Not provided
Chief Medical Officer,iVein Clinic ,Not preview,20 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/iVein-Clinic-Egypt-27085,Full Time,Not provided
Team Leader MEP Site Engineer,ZAD MEP ,Not preview,8 days ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Lead-Egypt-101968,On-site,Not provided
Farm Director,El Teriak Industrial Group ,Not preview,28 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/El-Teriak-Industrial-Group-Egypt-17942,Manager,Not provided
Warehouse Keeper / Storekeeper,Decotam  ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Decotam-Egypt-133799,Manufacturing/Production,Not provided
Purchasing Officer,Alunaut ,Not preview,29 days ago,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Alunaut-Egypt-111424,Quality,Not provided
Assistant Restaurant Manager,Matana Group ,Not preview,23 hours ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/-97979,Engineering - Mechanical/Electrical,Not provided
Production Engineer Intern (Agriculture Background),Olam SVI ,Not preview,4 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Olam-SVI-Egypt-24893,Quality Control,Not provided
Construction Project Management Engineer (PM),Civil Society Support Fund ,Not preview,17 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/civil-society-support-fund-egypt-144715,Communication,Not provided
Projects Manager Engineer,Mena Tradex ,Not preview,17 days ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/mena-tradex-egypt-145542,Manufacturing,Not provided
Purchasing Officer,Confidential ,Not preview,29 days ago,"Cairo, Egypt",,Internship,Not preview
Internal Auditor,Wadi Group ,Not preview,30 days ago,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/careers/Wadi-Group-Egypt-7062,On-site,Not provided
Wearhouse Supervisor,Ninos Kids Wear  ,Not preview,9 days ago,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Ninos-kids-wear-Egypt-98613,Entry Level,Not provided
Production Centre Manager – Food Manufacturing,Master Bakehouse ,Not preview,17 days ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/master-bakehouse-egypt-145581,Quality,Not provided
Senior Civil Technical Office Engineer,PRE Group ,Not preview,25 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Mashareq-Egypt-101933,Software Testing Life Cycle,Not provided
Foreign Purchasing Specialist,Nature's Rule Egypt LLC  ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Nature-Rule-Jordan-31287,API Testing,Not provided
Technical Sales Engineer (Physical Security),TTC Technologies ,Not preview,1 month ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/TTC-Technologies-Egypt-20890,Full Time,Not provided
Automotive Logistics Manager,Confidential ,Not preview,1 month ago,"6th of October, Giza, Egypt",,On-site,Not preview
Procurement Engineers civil-electrical,Tabarak ,Not preview,28 days ago,"Mohandessin, Giza, Egypt",https://wuzzuf.net/jobs/careers/Tabarak-Egypt-93024,Experienced,Not provided
QA Chemist,Orient ,Not preview,1 month ago,"Shubra Alkhaymah, Qalubia, Egypt",https://wuzzuf.net/jobs/careers/Orient-Egypt-17201,Manufacturing/Production,Not provided
Production Manager,Arabella For Medical Technologies ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/-116187,Quality,Not provided
Technical Office Architect Team Leader,Redminds Developments  ,Not preview,1 month ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/redminds-egypt-144702,Food Manufacturing,Not provided
Purchase Specialist,Investment Company For Dairy Products  ,Not preview,1 month ago,"Abu Alnumros, Giza, Egypt",https://wuzzuf.net/jobs/careers/Investment-Company-For-Dairy-Products-Egypt-26678,Quality Control,Not provided
Full Stack Developer,TechJump ,Not preview,1 month ago,"Alexandria, Egypt",https://wuzzuf.net/jobs/careers/IT-Experts-Egypt-89172,Quality Assurance,Not provided
Infra Technical Office Engineer,Tabarak ,Not preview,1 month ago,"Mohandessin, Giza, Egypt",https://wuzzuf.net/jobs/careers/Tabarak-Egypt-93024,Food Safety Management System,Not provided
Oracle Database Developer,ICIS ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/ICIS-Saudi-Arabia-36620,Food Hygiene,Not provided
Logistic Supervisor,Tawfeer ,Not preview,1 month ago,"Abu Alnumros, Giza, Egypt",https://wuzzuf.net/jobs/careers/-84172,concentrate,Not provided
Purchasing Manager,NTS Group ,Not preview,1 month ago,"Downtown, Cairo, Egypt",https://wuzzuf.net/jobs/careers/NTS-Egypt-41234,Full Time,Not provided
Safety Engineer/Officer - Construction & Civil,MFO for contracting ,Not preview,1 month ago,"Giza, Egypt",https://wuzzuf.net/jobs/careers/mfo-for-contracting-egypt-141614,On-site,Not provided
"Construction Manager ""Civil""",MaalemGroup ,Not preview,1 month ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Maalem-Group-Egypt-20404,Entry Level,Not provided
Construction Project Manager,Mamiba  ,Not preview,1 month ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Mamiba-Cosmetics-Egypt-8409,Quality,Not provided
Q.A Compliance Officer,APEX Pharma ,Not preview,1 month ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,Quality Control,Not provided
QA Data Integrity Professional,APEX Pharma ,Not preview,1 month ago,"Badr City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,Quality Assurance,Not provided
Production Shift Leader,Confidential ,Not preview,1 month ago,"Maadi, Cairo, Egypt",,Engineering,Not preview
Factory Manager,Confidential ,Not preview,1 month ago,"Maadi, Cairo, Egypt",,Full Time,Not preview
Warehouse Officer,Confidential ,Not preview,2 months ago,"Sheraton, Cairo, Egypt",,Shift Based,Not preview
Front End Developer Internship,3D Diagnostix ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/3D-Diagnostix-Egypt-3761,On-site,Not provided
Maintenance & Lab Engineer (Electric),Firoz Group ,Not preview,2 months ago,"Obour City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Firoz-Group-Egypt-9464,Manager,Not provided
Application Developer,El Teriak Industrial Group ,Not preview,2 months ago,"Giza, Egypt",https://wuzzuf.net/jobs/careers/El-Teriak-Industrial-Group-Egypt-17942,Manufacturing/Production,Not provided
Purchasing Specialist,Confidential ,Not preview,2 months ago,"Mohandessin, Giza, Egypt",,Quality,Not preview
AA - Admin Assistant,QUORUM ,Not preview,2 months ago,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/careers/QUORUM-Egypt-58088,Engineering - Mechanical/Electrical,Not provided
Marketing Account Manager,Framzo Agency ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/framzo-agency-egypt-144206,Quality Assurance,Not provided
QMS Specialist - Training & DI,Amoun Pharmaceutical  ,Not preview,2 months ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/Amoun-Pharmaceutical-Egypt-5252,Quality Control,Not provided
Procurement Head,New Plan  ,Not preview,4 days ago,"Cairo, Egypt",https://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501,Lean Six Sigma,Not provided
Site Engineer,Orouba Misr ,Not preview,3 days ago,"Smouha, Alexandria, Egypt",https://wuzzuf.net/jobs/careers/Orouba-Misr-Egypt-33391,Six Sigma Green Belt,Not provided
Workshop Section Head,AlAmal Alsharif For Plastic ,Not preview,3 days ago,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Al-Amal-Al-sharif-For-Plastic-Egypt-54751,Root Cause Analysis,Not provided
Site Engineer (Architecture or Civil),Ark for construction and engineering ,Not preview,15 days ago,"New Nozha, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Ark-for-construction-and-engineering-Egypt-48585,5S Lean Manufacturing Methodology,Not provided
Electrical QC / Site Engineer,Jidaar Construction ,Not preview,2 days ago,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/careers/Jidaar-Construction-Egypt-19687,ISO 9001,Not provided
Site Engineer (Owner Representative),Ragab Group  ,Not preview,22 hours ago,"Haram, Giza, Egypt",https://wuzzuf.net/jobs/careers/RagabGroup-17630,Full Time,Not provided
Senior Finishing Engineer (Architect),Confidential ,Not preview,1 month ago,"Qusayr, Red Sea, Egypt",,On-site,Not preview
Senior Site Engineer,LVLS Construction Company ,Not preview,22 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/LVLS-Construction-Company-Egypt-55531,Experienced,Not provided
SAP ERP Section Head,Confidential ,Not preview,19 days ago,"New Cairo, Cairo, Egypt",,Quality,Not preview
senior Production Engineer,Egyptian Engineering Company ,Not preview,8 days ago,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/careers/Egyptian-Engineering-Company-Egypt-57495,Engineering,Not provided
